name,ticker,Bloomberg ticker,S&P rating,Moody rating,country,cik,isin,cusip,Sector,Industry
Walmart Inc.,WMT,WMT US equity,AA,Aa2,US,0000104169,US9311421039,931142103,Consumer Defensive,Discount Stores
"Amazon.com, Inc.",AMZN,AMZN US equity,AA,A1,US,0001018724,US0231351067,023135106,Consumer Cyclical,Internet Retail
NA,386,386 HK equity,A+,,NA,NA,NA,NA,,
Apple Inc.,AAPL,AAPL US equity,AA+,Aaa,US,0000320193,US0378331005,037833100,Technology,Consumer Electronics
CVS Health Corporation,CVS,CVS US equity,BBB,Baa2,US,0000064803,US1266501006,126650100,Healthcare,Healthcare Plans
NA,7203,7203 JP equity,A+,A1,NA,NA,NA,NA,,
NA,BRK/A,BRK/A US equity,AA,Aa2,NA,NA,NA,NA,,
McKesson Corporation,MCK,MCK US equity,BBB+,Baa1,US,0000927653,US58155Q1031,58155Q103,Healthcare,Medical Distribution
Exxon Mobil Corporation,XOM,XOM US equity,AA-,Aa2,US,0000034088,US30231G1022,30231G102,Energy,Oil & Gas Integrated
Alphabet Inc.,GOOG,GOOG US equity,AA+,Aa2,US,0001652044,US02079K1079,02079K107,Communication Services,Internet Content & Information
AmerisourceBergen Corporation,ABC,ABC US equity,BBB+,Baa2,US,0001140859,US03073E1055,03073E105,Healthcare,Medical Distribution
NA,BP.,BP. US equity,A-,,NA,NA,NA,NA,,
Costco Wholesale Corporation,COST,COST US equity,A+,Aa3,US,0000909832,US22160K1051,22160K105,Consumer Defensive,Discount Stores
Microsoft Corporation,MSFT,MSFT US equity,AAA,Aaa,US,0000789019,US5949181045,594918104,Technology,Software—Infrastructure
AT&T Inc.,T,T US equity,BBB,Baa2,US,0000732717,US00206R1023,00206R102,Communication Services,Telecom Services
"Cardinal Health, Inc.",CAH,CAH US equity,BBB,Baa2,US,0000721371,US14149Y1082,14149Y108,Healthcare,Medical Distribution
TotalEnergies SE,TTE,TTE US equity,A+,A1,FR,0000879764,US89151E1091,89151E109,Energy,Oil & Gas Integrated
"The Home Depot, Inc.",HD,HD US equity,A,A2,US,0000354950,US4370761029,437076102,Consumer Cyclical,Home Improvement Retail
The Kroger Co.,KR,KR US equity,BBB,Baa1,US,0000056873,US5010441013,501044101,Consumer Defensive,Grocery Stores
"Walgreens Boots Alliance, Inc.",WBA,WBA US equity,BBB,Baa3,US,0001618921,US9314271084,931427108,Healthcare,Pharmaceutical Retailers
Ford Motor Company,F,F US equity,BB+,Ba2,US,0000037996,US3453708600,345370860,Consumer Cyclical,Auto Manufacturers
Chevron Corporation,CVX,CVX US equity,AA-,Aa2,US,0000093410,US1667641005,166764100,Energy,Oil & Gas Integrated
Verizon Communications Inc.,VZ,VZ US equity,BBB+,Baa1,US,0000732712,US92343V1044,92343V104,Communication Services,Telecom Services
JPMorgan Chase & Co.,JPM,JPM US equity,A-,A1,US,0000019617,US46625H1005,46625H100,Financial Services,Banks—Diversified
General Motors Company,GM,GM US equity,BBB,Baa2,US,0001467858,US37045V1008,37045V100,Consumer Cyclical,Auto Manufacturers
Alibaba Group Holding Limited,BABA,BABA US equity,A+,A1,CN,0001577552,US01609W1027,01609W102,Consumer Cyclical,Internet Retail
Comcast Corporation,CMCSA,CMCSA US equity,A-,A3,US,0001166691,US20030N1019,20030N101,Communication Services,Telecom Services
Dell Technologies Inc.,DELL,DELL US equity,BBB,,US,0001571996,US24703L2025,24703L202,Technology,Computer Hardware
Target Corporation,TGT,TGT US equity,A,A2,US,0000027419,US87612E1064,87612E106,Consumer Defensive,Discount Stores
Marathon Petroleum Corporation,MPC,MPC US equity,BBB,Baa2,US,0001510295,US56585A1025,56585A102,Energy,Oil & Gas Refining & Marketing
